Entity,Code,Year,Heat-related death rate
Afghanistan,AFG,2030,-2.5310047
Afghanistan,AFG,2050,-2.7535765
Afghanistan,AFG,2090,-0.6370835
Albania,ALB,2030,-4.546592
Albania,ALB,2050,-8.93333
Albania,ALB,2090,-10.22269
Algeria,DZA,2030,1.721635
Algeria,DZA,2050,4.2954845
Algeria,DZA,2090,10.07618
American Samoa,ASM,2030,-3.3538368
American Samoa,ASM,2050,-5.1846986
American Samoa,ASM,2090,-5.832106
Angola,AGO,2030,-2.7819054
Angola,AGO,2050,-4.152195
Angola,AGO,2090,-6.0614557
Anguilla,AIA,2030,0.7605009
Anguilla,AIA,2050,0.65255535
Anguilla,AIA,2090,2.0134845
Antigua and Barbuda,ATG,2030,0.89669263
Antigua and Barbuda,ATG,2050,1.4237604
Antigua and Barbuda,ATG,2090,4.529017
Argentina,ARG,2030,-0.808334
Argentina,ARG,2050,1.6314205
Argentina,ARG,2090,7.2647924
Armenia,ARM,2030,-11.247694
Armenia,ARM,2050,-24.660826
Armenia,ARM,2090,-42.329754
Aruba,ABW,2030,4.589684
Aruba,ABW,2050,4.6050873
Aruba,ABW,2090,3.6682785
Australia,AUS,2030,7.6846724
Australia,AUS,2050,20.39424
Australia,AUS,2090,49.92654
Austria,AUT,2030,-28.46168
Austria,AUT,2050,-72.377914
Austria,AUT,2090,-130.58186
Azerbaijan,AZE,2030,1.2072284
Azerbaijan,AZE,2050,1.8454084
Azerbaijan,AZE,2090,2.3802512
Bahamas,BHS,2030,0.5601125
Bahamas,BHS,2050,5.4402375
Bahamas,BHS,2090,14.732422
Bahrain,BHR,2030,8.277204
Bahrain,BHR,2050,22.289995
Bahrain,BHR,2090,39.79167
Bangladesh,BGD,2030,10.1965
Bangladesh,BGD,2050,19.534046
Bangladesh,BGD,2090,40.224163
Barbados,BRB,2030,-0.2678524
Barbados,BRB,2050,-0.0969524
Barbados,BRB,2090,1.8209982
Belarus,BLR,2030,-22.820793
Belarus,BLR,2050,-51.418552
Belarus,BLR,2090,-74.10488
Belgium,BEL,2030,-15.562117
Belgium,BEL,2050,-35.839035
Belgium,BEL,2090,-57.906403
Belize,BLZ,2030,-0.1576466
Belize,BLZ,2050,0.7950899
